gid;objectid_1;kdprov;kdkab;kdkec;kddesa;rw_dki;nmprov;nmkab;nmkec;nmdesa;klaswil;urutno;nmsls;idsls;wil_campur;tgl_sinkro;shape_leng;shape_area;luas;periode;sumber;kdsls;area;dusun
"691765";"264188";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"003";RT 003 RW 01 DUSUN KRAJAN I;"33220400160003";"0";2019/09/05 00:00:00.000;"0.008523245400489";"3.750146869e-06";;2019_1;BPS;"0003";"46854.7911106194";krajan 1
"691470";"263893";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"007";RT 007 RW 02 DUSUN KRAJAN II;"33220400160007";"0";2019/09/05 00:00:00.000;"0.006683454600245";"2.360403861e-06";;2019_1;BPS;"0007";"29491.4543271745";krajan 2
"691744";"264167";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"040";RT 040 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160040";"0";2019/09/05 00:00:00.000;"0.00696035362607";"2.000449076e-06";;2019_1;BPS;"0040";"24994.2226963223";banjaran cengklik
"691726";"264149";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"011";RT 011 RW 02 DUSUN KRAJAN II;"33220400160011";"0";2019/09/05 00:00:00.000;"0.006560232551664";"2.058748527e-06";;2019_1;BPS;"0011";"25722.6440877533";krajan 2
"691723";"264146";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"010";RT 010 RW 02 DUSUN KRAJAN II;"33220400160010";"0";2019/09/05 00:00:00.000;"0.006535353295296";"1.571329089e-06";;2019_1;BPS;"0010";"19632.6346538197";krajan 2
"691724";"264147";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"008";RT 008 RW 02 DUSUN KRAJAN II;"33220400160008";"0";2019/09/05 00:00:00.000;"0.008088985424108";"3.239391033e-06";;2019_1;BPS;"0008";"40473.7556204963";krajan 2
"691727";"264150";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"016";RT 016 RW 03 DUSUN PATRAN;"33220400160016";"0";2019/09/05 00:00:00.000;"0.006804813757406";"2.999510155e-06";;2019_1;BPS;"0016";"37476.6843411254";patran
"691728";"264151";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"029";RT 029 RW 06 DUSUN BANJARAN GUNUNG;"33220400160029";"0";2019/09/05 00:00:00.000;"0.009741957971603";"4.05990114e-06";;2019_1;BPS;"0029";"50725.973043371";banjaran gunung
"691729";"264152";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"014";RT 014 RW 03 DUSUN PATRAN;"33220400160014";"0";2019/09/05 00:00:00.000;"0.005297085982039";"1.718000729e-06";;2019_1;BPS;"0014";"21465.1981368392";patran
"691736";"264159";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"025";RT 025 RW 06 DUSUN BANJARAN GUNUNG;"33220400160025";"0";2019/09/05 00:00:00.000;"0.008755248571542";"4.882658601e-06";;2019_1;BPS;"0025";"61005.2573093582";banjaran gunung
"691730";"264153";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"1";"001";"BLOK 003 P , SAWAH";"33220400161001";"0";2019/09/05 00:00:00.000;"0.030569498844229";"2.3966301057e-05";;2019_1;BPS;"1001";"299443.456503802";sawah
"691731";"264154";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"012";RT 012 RW 02 DUSUN KRAJAN II;"33220400160012";"0";2019/09/05 00:00:00.000;"0.00747828732185";"3.089406615e-06";;2019_1;BPS;"0012";"38600.0261441026";krajan 2
"691732";"264155";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"015";RT 015 RW 03 DUSUN PATRAN;"33220400160015";"0";2019/09/05 00:00:00.000;"0.007460516807666";"2.733863544e-06";;2019_1;BPS;"0015";"34157.729739163";patran
"691734";"264157";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"028";RT 028 RW 06 DUSUN BANJARAN GUNUNG;"33220400160028";"0";2019/09/05 00:00:00.000;"0.012687929661989";"7.329321602e-06";;2019_1;BPS;"0028";"91575.5670264507";banjaran gunung
"691735";"264158";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"030";RT 030 RW 06 DUSUN BANJARAN GUNUNG;"33220400160030";"0";2019/09/05 00:00:00.000;"0.012107462165124";"8.64427344e-06";;2019_1;BPS;"0030";"108005.266948072";banjaran gunung
"691737";"264160";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"026";RT 026 RW 06 DUSUN BANJARAN GUNUNG;"33220400160026";"0";2019/09/05 00:00:00.000;"0.007361924380332";"2.024807447e-06";;2019_1;BPS;"0026";"25298.5787364148";banjaran gunung
